Frequency[Hz],Channel.Amp,Channel.Phase[rad]
 -768000000.000000000, 0.001158584, 0.072162846
 -750545454.545454621, 0.001192279, 0.071979001
 -733090909.090909123, 0.001336830, 0.047252009
 -715636363.636363745, 0.001453607, -0.006823108
 -698181818.181818247, 0.001468452, -0.084475418
 -680727272.727272749, 0.001432923, -0.161505042
 -663272727.272727370, 0.001400789, -0.219414035
 -645818181.818181872, 0.001381139, -0.270357193
 -628363636.363636494, 0.001369733, -0.332238710
 -610909090.909090996, 0.001342037, -0.404979838
 -593454545.454545498, 0.001263838, -0.478463937
 -576000000.000000119, 0.001142347, -0.537155841
 -558545454.545454621, 0.001031448, -0.559598799
 -541090909.090909123, 0.000962536, -0.541847530
 -523636363.636363745, 0.000908334, -0.521828452
 -506181818.181818247, 0.000840107, -0.529384857
 -488727272.727272749, 0.000765704, -0.520247553
 -471272727.272727370, 0.000704800, -0.433104902
 -453818181.818181992, 0.000674930, -0.300821687
 -436363636.363636494, 0.000691488, -0.220763105
 -418909090.909090996, 0.000738723, -0.224900403
 -401454545.454545498, 0.000756403, -0.249772491
 -384000000.000000000, 0.000711144, -0.242145484
 -366545454.545454740, 0.000661930, -0.202394256
 -349090909.090909243, 0.000671454, -0.144204289
 -331636363.636363745, 0.000705828, -0.103025074
 -314181818.181818247, 0.000693653, -0.119456713
 -296727272.727272749, 0.000631224, -0.156949481
 -279272727.272727489, 0.000574853, -0.111234120
 -261818181.818181992, 0.000559799, 0.043384441
 -244363636.363636494, 0.000579072, 0.184845541
 -226909090.909090996, 0.000618261, 0.215876508
 -209454545.454545498, 0.000651238, 0.201254948
 -192000000.000000000, 0.000653898, 0.235551262
 -174545454.545454740, 0.000648690, 0.312607659
 -157090909.090909243, 0.000681884, 0.372318326
 -139636363.636363745, 0.000751641, 0.389743898
 -122181818.181818247, 0.000801767, 0.380189578
 -104727272.727272749, 0.000804026, 0.364238293
 -87272727.272727489, 0.000802654, 0.369826432
 -69818181.818181992, 0.000841677, 0.414019158
 -52363636.363636494, 0.000909374, 0.451140824
 -34909090.909090996, 0.000976646, 0.420566009
 -17454545.454545498, 0.001026058, 0.334604156
 17454545.454545259, 0.001048252, 0.239310639
 34909090.909090757, 0.001035933, 0.222418619
 52363636.363636255, 0.001027138, 0.205539563
 69818181.818181753, 0.001035681, 0.161760509
 87272727.272727251, 0.001039225, 0.114741257
 104727272.727272511, 0.001014723, 0.092785670
 122181818.181818008, 0.000982075, 0.089546211
 139636363.636363506, 0.000977221, 0.084541161
 157090909.090909004, 0.000993888, 0.068893451
 174545454.545454502, 0.000988563, 0.044159039
 191999999.999999762, 0.000945948, 0.019896773
 209454545.454545259, 0.000904633, 0.019614747
 226909090.909090757, 0.000899194, 0.055671221
 244363636.363636255, 0.000925215, 0.089887056
 261818181.818181753, 0.000968080, 0.077360790
 279272727.272727013, 0.001008912, 0.028743231
 296727272.727272510, 0.001027298, -0.015929391
 314181818.181818008, 0.001025785, -0.046580930
 331636363.636363506, 0.001032728, -0.087179596
 349090909.090909004, 0.001057123, -0.152431807
 366545454.545454502, 0.001059265, -0.231024882
 383999999.999999762, 0.001004306, -0.307560316
 401454545.454545259, 0.000919675, -0.364772400
 418909090.909090757, 0.000850590, -0.386735042
 436363636.363636255, 0.000808249, -0.382896871
 453818181.818181753, 0.000780153, -0.380055194
 471272727.272727013, 0.000758454, -0.386033425
 488727272.727272510, 0.000742658, -0.381009606
 506181818.181818008, 0.000734374, -0.354992384
 523636363.636363506, 0.000739903, -0.334479377
 541090909.090909004, 0.000763771, -0.348173041
 558545454.545454502, 0.000791916, -0.391782742
 575999999.999999762, 0.000803395, -0.447414971
 593454545.454545259, 0.000796584, -0.505505242
 610909090.909090757, 0.000786954, -0.563953492
 628363636.363636017, 0.000781262, -0.622982003
 645818181.818181515, 0.000769267, -0.686579379
 663272727.272727013, 0.000743795, -0.756579991
 680727272.727272510, 0.000717172, -0.824597985
 698181818.181818008, 0.000703085, -0.882701943
 715636363.636363506, 0.000682229, -0.951239043
 733090909.090909004, 0.000618916, -1.064079033
 750545454.545454502, 0.000525968, -1.198531548
 768000000.000000000, 0.000470908, -1.268239804
 785454545.454545498, 0.000486035, -1.236873779
 802909090.909090519, 0.000514084, -1.193580039
 820363636.363636017, 0.000499642, -1.223923805
 837818181.818181515, 0.000464627, -1.299971783
 855272727.272727013, 0.000452920, -1.361049139
 872727272.727272510, 0.000464549, -1.404339086
 890181818.181818008, 0.000469243, -1.467047890
 907636363.636363506, 0.000455007, -1.565099238
 925090909.090909004, 0.000436875, -1.682798397
 942545454.545454502, 0.000425875, -1.805746036
 960000000.000000000, 0.000414476, -1.930916865
 977454545.454545021, 0.000393188, -2.057452277
 994909090.909090519, 0.000363447, -2.184526610
 1012363636.363636020, 0.000331255, -2.310981375
 1029818181.818181510, 0.000300980, -2.429156169
 1047272727.272727010, 0.000275510, -2.525713799
 1064727272.727272510, 0.000256464, -2.596659191
 1082181818.181818010, 0.000243239, -2.655414044
 1099636363.636363510, 0.000234463, -2.721583669
 1117090909.090909000, 0.000226636, -2.832093658
 1134545454.545454500, 0.000216158, -3.021100998
 1152000000.000000000, 0.000203468, 3.027125225
 1169454545.454545020, 0.000191137, 2.813285625
 1186909090.909090520, 0.000179384, 2.629857496
 1204363636.363636020, 0.000165761, 2.420791283
 1221818181.818181510, 0.000149136, 2.163846349
 1239272727.272727010, 0.000131804, 1.924377185
 1256727272.727272510, 0.000116277, 1.757574569
 1274181818.181818010, 0.000103622, 1.599077949
 1291636363.636363510, 0.000094170, 1.352196298
 1309090909.090909000, 0.000084798, 1.009231445
 1326545454.545454500, 0.000070092, 0.624918890
 1344000000.000000000, 0.000050538, 0.264172292
 1361454545.454545020, 0.000035122, 0.004614616
 1378909090.909090520, 0.000029668, -0.106812160
 1396363636.363636020, 0.000028334, -0.119779910
 1413818181.818181510, 0.000024265, -0.084811390
 1431272727.272727010, 0.000018954, 0.069707164
 1448727272.727272510, 0.000017181, 0.456482829
 1466181818.181818010, 0.000018728, 0.983752750
 1483636363.636363510, 0.000018967, 1.379617880
 1501090909.090909000, 0.000017417, 1.524845009
 1518545454.545454500, 0.000021451, 1.590365049
